GND-ID,Wikidata-Entity,URN
118798162,Q354350,https://pta.bbaw.de/text/urn:cts:pta:pta0012
118504843,Q44024,https://pta.bbaw.de/text/urn:cts:pta:pta0022
100942229,Q1499216,https://pta.bbaw.de/text/urn:cts:pta:pta0036
118756796,Q317029,https://pta.bbaw.de/text/urn:cts:pta:pta0004
4006406-2,Q1845,https://pta.bbaw.de/text/urn:cts:pta:pta9999
118531425,Q142999,https://pta.bbaw.de/text/urn:cts:pta:pta0003
118796771,Q722953,https://pta.bbaw.de/text/urn:cts:pta:pta0001
,,https://pta.bbaw.de/text/urn:cts:pta:pta0029
118590235,Q170472,https://pta.bbaw.de/text/urn:cts:pta:pta0007
118648888,Q474872,https://pta.bbaw.de/text/urn:cts:pta:pta0013
105549460X,Q519513,https://pta.bbaw.de/text/urn:cts:pta:pta0023
118551418,Q207113,https://pta.bbaw.de/text/urn:cts:pta:pta0037
118523139,Q44079,https://pta.bbaw.de/text/urn:cts:pta:pta0005
