Edition,Reference,Reference in Index
Hexapla,Dn:7:1,https://pta.bbaw.de/biblical-reference/Dn:7:1
Hexapla,Dn:8:25,https://pta.bbaw.de/biblical-reference/Dn:8:25
Hexapla,Jr:34:4-Jr:34:7,https://pta.bbaw.de/biblical-reference/Jr:34:4-Jr:34:7
LXX,1Chr:17:8,https://pta.bbaw.de/biblical-reference/1Chr:17:8
LXX,1Chr:22:12,https://pta.bbaw.de/biblical-reference/1Chr:22:12
LXX,1Ko:11:1,https://pta.bbaw.de/biblical-reference/1Ko:11:1
LXX,1Ko:11:14,https://pta.bbaw.de/biblical-reference/1Ko:11:14
LXX,1Ko:15:29,https://pta.bbaw.de/biblical-reference/1Ko:15:29
LXX,1Ko:17:1,https://pta.bbaw.de/biblical-reference/1Ko:17:1
LXX,1Ko:17:17-1Ko:17:24,https://pta.bbaw.de/biblical-reference/1Ko:17:17-1Ko:17:24
LXX,1Ko:18:10,https://pta.bbaw.de/biblical-reference/1Ko:18:10
LXX,1Ko:18:17-1Ko:18:40,https://pta.bbaw.de/biblical-reference/1Ko:18:17-1Ko:18:40
LXX,1Ko:18:21,https://pta.bbaw.de/biblical-reference/1Ko:18:21
LXX,1Ko:18:45,https://pta.bbaw.de/biblical-reference/1Ko:18:45
LXX,1Ko:19:9,https://pta.bbaw.de/biblical-reference/1Ko:19:9
LXX,1Ko:1:33-1Ko:1:34,https://pta.bbaw.de/biblical-reference/1Ko:1:33-1Ko:1:34
LXX,1Ko:20:7-1Ko:20:8,https://pta.bbaw.de/biblical-reference/1Ko:20:7-1Ko:20:8
LXX,1Ko:21:20,https://pta.bbaw.de/biblical-reference/1Ko:21:20
LXX,1Ko:22:20,https://pta.bbaw.de/biblical-reference/1Ko:22:20
LXX,1Ko:22:21,https://pta.bbaw.de/biblical-reference/1Ko:22:21
LXX,1Ko:25:29,https://pta.bbaw.de/biblical-reference/1Ko:25:29
LXX,1Ko:2:10,https://pta.bbaw.de/biblical-reference/1Ko:2:10
LXX,1Ko:2:25,https://pta.bbaw.de/biblical-reference/1Ko:2:25
LXX,1Sa:10:1,https://pta.bbaw.de/biblical-reference/1Sa:10:1
LXX,1Sa:10:7,https://pta.bbaw.de/biblical-reference/1Sa:10:1
LXX,1Sa:10:1,https://pta.bbaw.de/biblical-reference/1Sa:10:7
LXX,1Sa:10:7,https://pta.bbaw.de/biblical-reference/1Sa:10:7
LXX,1Sa:12:18,https://pta.bbaw.de/biblical-reference/1Sa:12:18
LXX,1Sa:12:5,https://pta.bbaw.de/biblical-reference/1Sa:12:5
LXX,1Sa:14:25,https://pta.bbaw.de/biblical-reference/1Sa:14:25
LXX,1Sa:16:1,https://pta.bbaw.de/biblical-reference/1Sa:16:1
LXX,1Sa:16:23,https://pta.bbaw.de/biblical-reference/1Sa:16:23
LXX,1Sa:16:7,https://pta.bbaw.de/biblical-reference/1Sa:16:7
LXX,1Sa:17:34-1Sa:17:37,https://pta.bbaw.de/biblical-reference/1Sa:17:34-1Sa:17:37
