GND-ID,Wikidata-Entity,mentioned in
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta014.pta-grc1:g7
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-deu1:g1
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-deu1:g2
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-grc1:g1
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-grc1:g2
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g1
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g10
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g38
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g46
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g48
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g49
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g50
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g53
4032379-1,Q133331,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g1
,Q1194032,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta019.pta-grc1:g27
,Q1194032,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta055.pta-grc1:g16
,Q1194032,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-grc1:g3
,Q1194032,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta014.pta-grc1:g7
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g5
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g8
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g11
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g12
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g13
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta005.pta-grc1:g13
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta019.pta-grc1:g26
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta055.pta-grc1:g15
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-grc1:g4
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-grc1:g6
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g3
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g7
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g13
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g19
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g23
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g30
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g36
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g37
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g39
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g40
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g41
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g42
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g54
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g57
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g3
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g15
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g16
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g17
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g18
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g20
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g22
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g23
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g1
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g5
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g6
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g7
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g8
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g11
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g14
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g17
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g19
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g20
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta014.pta-grc1:g1
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta014.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta014.pta-grc1:g6
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g3
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g5
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g7
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g12
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta016.pta-grc1:g1
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g1
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g4
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g5
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g6
