Place,mentioned in
https://pleiades.stoa.org/places/1001896,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l11
https://pleiades.stoa.org/places/1001896,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l16
https://pleiades.stoa.org/places/1001896,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0037.pta001.pta-grc1:l119
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta002.pta-grc1:l1
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta002.pta-grc1:l5
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta002.pta-grc1:l6
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta004.pta-grc1:l2
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta005.pta-grc1:l3
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta007.pta-grc1:l12
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta018.pta-grc1:l3
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta019.pta-grc1:l1
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta019.pta-grc1:l5
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta026.pta-grc1:l2
https://pleiades.stoa.org/places/1001943,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta026.pta-grc1:l3
https://pleiades.stoa.org/places/1001948,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta013.pta-grc1:l5
https://pleiades.stoa.org/places/1001950,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l63
https://pleiades.stoa.org/places/1001950,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l6
https://pleiades.stoa.org/places/1001950,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l32
https://pleiades.stoa.org/places/1001950,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l43
https://pleiades.stoa.org/places/1027,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta013.pta-grc1:l4
https://pleiades.stoa.org/places/1027,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l8
https://pleiades.stoa.org/places/1052,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta010.pta-grc1:l30
https://pleiades.stoa.org/places/1052,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta010.pta-grc1:l38
https://pleiades.stoa.org/places/1052,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta014.pta-grc1:l5
https://pleiades.stoa.org/places/1052,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta015.pta-grc1:l3
https://pleiades.stoa.org/places/1052,https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta016.pta-grc1:l11
