CPG no.,BHG no.,Pinakes-Oeuvre no.,URN,Author,Title
4185,,2683,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta001,Severian of Gabala,De fide et lege naturae
4186,,3430,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta002,Severian of Gabala,De paenitentia et compunctione
4187,1844c,7573,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta003,Severian of Gabala,In ascensionem domini nostri Iesu Christi et in principium Actorum
4188,,4001,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta004,Severian of Gabala,De spiritu sancto
4189,1189,2232,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta005,Severian of Gabala,De Christo pastore et ove
4190,1937,8456,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta006,Severian of Gabala,In psalmum 96
4191,488e,8455,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta007,Severian of Gabala,In psalmum 95
4192,,7167,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta008,Severian of Gabala,Homilia de legislatore
4193,,7959,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta009,Severian of Gabala,In illud: In qua potestate haec facis
4195,420q,11978,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta010,Severian of Gabala,Quomodo animam acceperit Adamus
4196,451h,3929,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta011,Severian of Gabala,De serpente homilia
4270,428y,11220,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta012,Severian of Gabala,Oratio in dedicationem pretiosae et uiuificae crucis
4197,,7893,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta013,Severian of Gabala,In Genesim sermo 2
4198,2345,7961,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta014,Severian of Gabala,In illud: Pone manum tuam
4199,,8206,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta015,Severian of Gabala,In meretricem et pharisaeum
4200,,7884,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta016,Severian of Gabala,In filium prodigum
4201,,7963,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta017,Severian of Gabala,In illud: Quomodo scit litteras
4202,,7633,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta018,Severian of Gabala,In Chananaeam et Pharaonem
4203,,7710,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta019,Severian of Gabala,In dictum apostoli: Non quod volo facio
4204,1910k,8078,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta020,Severian of Gabala,In incarnationem domini
4205,415t,8395,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta021,Severian of Gabala,In proditionem servatoris
4206,,2672,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta022,Severian of Gabala,De fide
4207,424u,1794,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta023,Severian of Gabala,Contra Iudaeos in serpentem aeneum
4208,,3846,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta024,Severian of Gabala,De sacrificiis Caini
4209,2351,3935,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta025,Severian of Gabala,De sigillis sermo
4210,,7957,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta026,Severian of Gabala,In illud: in principium erat verbum
4211,,8607,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta027,Severian of Gabala,In sanctam pentecosten
4212,1928,8697,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta028,Severian of Gabala,In theophaniam
4213,421,8380,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta029,Severian of Gabala,In pretiosam et vivificam crucem
4214,226f,7091,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta030,Severian of Gabala,Homilia de pace
4215,,7960,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta031,Severian of Gabala,"In illud: Pater, transeat a me calix iste"
4216,,7168,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta032,Severian of Gabala,Homilia de lotione pedum
4220,,missing,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta033,Severian of Gabala,Homilia de quinque aetatibus mundi
4230,,2208,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta034,Severian of Gabala,De centurione et contra Manichaeos et Apolinaristas
4231,,7118,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta035,Severian of Gabala,Homilia in caecum natum
4232,,8262,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta036,Severian of Gabala,"In Noe et filios eius, de cherubim et in propthetam Oseam"
4233,,8129,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta037,Severian of Gabala,In Iudaeos et Graecos
4234,,7964,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta038,Severian of Gabala,In illud: Secundum imaginem et similitudinem
4236.1,2475e,2162,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta040,Severian of Gabala,De caeco et Zacchaeo
4236.2,,8046,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta041,Severian of Gabala,In illud: Quando ipsi subiciet omnia
4236.3,,8012,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta042,Severian of Gabala,In illud: Genimina viperarum
4236.4,,2163,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta043,Severian of Gabala,Homilia de Noe et de arca
4236a.1,,7895,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta044,Severian of Gabala,In Genesim sermo 1
4564.1,939d,14909,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta045,Severian of Gabala,In Iob sermo 1
4564.2; 4236a.2-1,939e,14910,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta046,Severian of Gabala,In Iob sermo 2
4564.3; 4236a.2-3,939f,14911,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta047,Severian of Gabala,In Iob sermo 3
4564.4; 4236a.2-4,393g,14912,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta048,Severian of Gabala,In Iob sermo 4
4236a.3,488f,4127,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta049,Severian of Gabala,De tribus pueris sermo
4236a.4,,2164,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta050,Severian of Gabala,De caeco nato
4236a.5,1191g,4823,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta051,Severian of Gabala,Encomium in sanctos martyres
4236a.6,,2865,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta052,Severian of Gabala,In postremum iudicium
4236a.7,809b,7575,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta053,Severian of Gabala,In accensionem domini
4728; 4236a.8,414p-414s,2351,https://pta.bbaw.de/text/urn:cts:pta:pta0001.pta054,Severian of Gabala,De cruce et latrone
