Rahlfs,Diktyon-ID
A,74390
A,74391
A,74392
A,39763
B,67840
C,49569
D,39420
F,42232
G,49577
G,38115
G,57070
K,38317
K,57096
L,71698
M,49143
Q,68755
R,70783
S,39225
S,38316
S,57069
S,57331
S,57913
S,57946
S,61039
T,72797
V,68736
V,69472
W,70846
W<I>,70835
Z,73150
Z,38899
13,46972
14,65935
15,49144
16,15986
17,44010
18,15914
19,65217
22,39761
25,44452
26,67187
27,17374
28,68752
29,69473
30,56088
31,71674
34,67434
35,67497
36,66978
43,49581
44,72787
46,49146
48,68423
49,16158
51,16130
52,15695
53,49578
54,49565
55,66171
56,49563
57,67378
58,66180
59,17296
60,12178
62,33959
62,48715
62,47011
62,2340
64,49562
65,38319
66,15563
67,48612
68,69476
69,48702
71,49561
72,47585
73,67377
74,16915
75,48814
76,49564
77,67379
78,67014
79,68299
80,48566
81,48564
82,49145
83,38744
83,38743
83,38747
83,38746
83,38745
84,68530
85,68687
86,65092
87,65233
88,65224
90,15957
91,65695
92,49568
93,39762
96,37218
97,67785
97,67784
98,15370
99,48813
100,48563
101,48583
102,48565
103,71905
104,71896
106,15673
107,15674
108,66961
109,71691
110,71897
111,42521
112,42736
113,42350
118,49566
119,49567
120,69475
121,69474
122,69477
125,43655
126,43644
127,43656
128,68288
129,67883
130,71690
131,71724
134,15950
135,8900
137,42559
138,42996
139,42233
140,8921
141,63757
142,71675
143,71844
144,71895
145,65161
146,40405
147,48251
148,68654
149,71678
150,15664
151,9070
152,70128
154,9387
155,47152
156,8908
157,8919
158,8918
159,44386
160,13444
161,13484
162,49585
163,49587
164,39498
165,39499
166,39500
167,39518
168,39533
169,39534
170,39545
171,39612
172,39665
173,39666
174,39681
175,39764
176,39526
177,49588
178,49601
179,49602
180,49603
181,17376
182,65190
183,65191
186,71965
187,49152
188,49325
189,49155
190,49326
191,57134
192,49573
193,49582
194,49583
195,49584
196,49586
197,49590
198,30090
198,49574
199,43325
200,47301
201,47394
202,47795
203,48223
204,48222
205,11974
206,11867
208,62845
211,68172
212,68173
213,68477
214,68499
215,68502
216,68556
217,66972
219,72003
222,71908
223,71901
224,45978
225,73490
226,64915
227,64865
228,68393
230,68272
231,68301
232,68629
233,68697
235,68677
236,66962
239,9733
240,16176
242,71802
243,49150
244,66964
245,66965
246,67869
247,66468
248,66977
249,66360
250,44594
251,15975
252,16085
253,66967
254,66968
255,66969
256,67328
257,67376
258,67380
259,65962
260,37136
261,16053
264,65641
265,66113
266,68731
267,65537
268,68686
270,68493
271,68376
272,65979
273,66210
275,68503
277,71994
278,15971
279,15981
280,15953
281,15966
282,15973
283,16023
284,15965
285,15982
286,15978
287,15962
290,15903
291,15988
292,15990
293,15985
294,11850
297,68431
318,18655
319,18657
322,20022
328,23612
334,23979
340,26064
344,29043
344,35742
350,9308
358,11834
359,11963
360,11965
360,11964
371,15275
372,15294
373,15337
374,15368
375,15470
376,15473
379,15201
381,15063
386,16151
392,17527
395,55548
398,6414
408,35240
413,33953
415,38254
416,38331
417,39890
422,39119
424,39312
425,39759
426,39164
427,39957
431,40150
456,40699
456,40668
456,40670
456,40680
456,40686
456,40692
456,40693
456,40694
456,40702
456,40708
456,40716
456,40725
456,40731
456,40775
456,40777
456,40779
456,15439
456,15444
456,38943
456,42535
456,47269
462,43373
464,43542
483,44526
485,44575
487,44817
489,44902
491,44936
500,71640
501,46689
502,47003
503,47011
504,47013
504,47012
505,47014
506,47148
507,47153
508,47102
509,77957
509,57132
509,38981
509,47258
511,47435
512,47463
513,47465
514,47482
515,47489
517,47520
518,47609
519,27233
523,48241
524,48263
525,48308
526,48714
527,49106
528,49147
529,49148
530,49149
531,49151
532,49157
533,49159
534,49160
535,49227
536,49249
537,49323
538,49330
539,49332
540,49333
541,49399
542,49570
543,49571
544,49575
545,49579
546,49580
547,49596
548,49597
549,49618
550,49695
551,49696
552,49699
552,49697
553,49698
554,49700
555,49701
556,49702
557,49703
558,49704
559,49705
560,49719
561,49720
562,49721
563,49722
564,49723
565,49724
566,49725
567,49726
568,49727
569,49729
570,49730
571,49740
572,49741
573,49743
574,49745
575,49969
576,50088
577,50124
578,50493
579,50441
580,50537
581,50590
582,50593
583,50683
584,50774
585,50647
586,50778
587,50779
588,50781
590,51080
591,51091
592,51092
593,51095
594,51134
595,51145
596,51146
597,51166
598,51234
599,51247
600,52098
601,52141
602,52143
603,52382
604,52479
605,52621
606,52634
607,52655
608,52923
609,53244
610,53345
611,53918
612,54415
613,54453
614,54458
615,54460
616,54461
617,54502
618,54651
619,54652
620,54660
621,54911
624,57072
625,57094
626,57112
627,57133
628,57196
629,56099
631,46459
632,56019
633,56020
634,56039
635,56039
636,56046
637,56048
638,65209
639,65229
640,56251
641,56258
642,56260
643,56289
644,64912
645,64931
646,65017
647,65060
648,65079
649,65080
650,65107
651,65109
652,65248
653,65250
654,65265
655,65301
656,65328
657,65359
659,65627
660,65680
661,66163
662,66374
664,66379
665,66381
666,66177
667,66947
668,66592
669,66963
670,66966
671,66979
672,67063
673,67140
674,67140
675,67251
676,67252
677,67310
678,67359
679,67373
680,67381
681,67382
682,67450
683,67454
684,67700
685,67778
686,67821
687,67862
688,68073
689,68283
690,68302
691,68313
692,68399
693,68472
694,68500
695,68511
696,68516
697,68538
698,68603
699,68672
700,68745
701,68759
702,68761
703,68858
704,56459
706,58152
707,58376
707,57332
708,58377
709,58379
710,58380
711,58381
712,58687
713,58891
714,58892
716,34031
717,34059
719,63622
720,63651
721,63659
722,63667
723,63685
724,63714
725,63858
726,63881
727,63910
728,70109
729,69487
730,69486
731,69487
732,69492
733,69493
734,69494
735,69494
736,69496
737,69558
738,69831
739,70005
740,70009
741,70922
742,70991
743,71023
744,71385
745,38331
746,38331
747,38352
748,55548
748,1575
749,71478
750,71740
751,71771
752,71782
753,71795
754,71814
755,71866
756,71925
757,71981
760,74039
761,72789
762,18656
763,18658
764,27101
765,27152
766,27287
767,27541
768,28383
769,27952
799,4523
911,73580
911,9156
918,76483
926,57093
929,35239
930,57297
931,58327
932,58329
932,58328
933,58346
935,45060
936,45060
937,45060
940,51013
940,76165
1001,478
1002,1726
1004,2299
1005,2301
1006,2302
1007,2303
1009,18904
1010,8853
1010,18905
1011,18995
1012,22071
1013,20054
1014,20061
1015,20553
1016,20608
1017,21230
1018,23614
1019,23619
1020,23667
1021,24194
1022,72906
1023,26112
1024,26941
1025,27078
1026,27381
1027,22156
1028,22157
1029,22158
1030,22159
1031,43604
1031,13129
1031,8101
1031,70822
1032,57337
1032,29080
1033,30107
1034,29413
1035,29414
1036,29418
1037,72893
1038,9270
1039,1039
1040,9302
1041,9068
1042,12153
1043,64062
1044,9587
1045,38524
1047,15482
1048,15195
1049,15559
1050,15798
1051,15799
1052,16913
1053,56709
1054,74423
1055,17218
1056,17530
1057,17531
1058,17534
1059,17499
1060,17537
1061,17539
1062,39238
1063,53996
1064,34320
1065,34422
1066,34464
1067,34866
1068,34955
1069,35984
1070,57335
1070,35992
1071,36003
1073,57346
1073,35288
1073,57345
1074,35290
1075,35292
1076,35145
1077,36856
1078,55558
1079,37865
1080,37877
1081,38052
1082,33231
1083,38313
1084,45371
1085,45387
1087,38864
1088,38960
1089,39141
1090,39165
1091,39166
1091,39167
1092,39168
1093,39754
1094,40062
1095,42434
1096,42987
1097,42993
1098,43063
1099,40469
1100,40778
1101,44147
1102,44264
1103,44265
1104,43819
1105,43838
1106,43966
1107,43981
1108,43983
1109,44032
1110,44093
1111,44698
1112,44699
1113,44807
1115,45004
1116,46970
1117,46981
1118,47205
1119,65152
1120,47419
1121,47523
1122,47612
1123,47770
1124,48264
1125,48387
1126,48537
1127,48685
1128,48873
1129,49098
1131,49416
1132,49501
1133,49706
1134,49707
1135,49708
1136,49709
1137,49711
1138,49714
1139,49731
1140,49732
1144,52870
1145,53024
1146,53098
1147,53345
1148,53813
1148,27147
1150,54157
1151,54513
1152,58420
1152,57162
1152,57147
1154,57272
1155,57286
1156,57288
1157,57616
1158,57767
1159,64831
1160,73382
1161,64855
1162,64863
1163,64875
1164,64883
1165,64996
1166,66020
1167,66183
1168,66357
1169,76552
1170,66973
1171,67250
1172,67375
1173,67383
1174,67384
1175,67385
1176,67702
1177,68053
1178,68418
1179,68441
1180,68593
1181,68595
1182,68791
1183,68926
1184,58396
1185,58403
1186,58404
1187,58405
1188,58406
1189,58407
1190,61071
1190,57334
1190,58408
1191,58409
1192,58410
1193,61047
1193,58411
1194,9264
1194,61089
1194,61045
1194,56870
1194,58412
1195,58414
1196,58416
1197,57340
1197,58419
1198,57339
1198,58423
1199,58431
1200,58432
1201,57907
1201,58434
1201,61057
1202,58435
1203,58440
1204,58443
1205,58587
1206,64061
1207,63642
1208,70762
1208,63820
1209,63845
1210,64531
1211,70097
1212,70126
1213,70145
1214,70275
1215,69488
1217,39114
1218,70764
1219,70836
1222,71558
1223,71559
1224,71964
1225,72218
1226,67841
1227,11833
1228,37219
1229,35287
1240,79773
1241,79774
1242,60429
1245,39756
1246,46629
1248,65153
1248,49548
1251,5021
1252,7831
1253,8012
1254,8049
1255,8078
1256,8103
1257,18804
1258,22170
1259,18769
1260,19375
1261,20554
1262,31994
1263,26061
1264,27017
1265,27079
1266,27135
1267,27356
1269,8922
1270,11005
1270,33654
1271,12290
1272,73139
1274,13632
1275,13935
1275,14024
1276,17532
1277,39208
1278,39210
1279,39256
1280,44282
1281,44352
1282,44353
1283,46497
1284,56647
1284,46614
1285,46656
1288,56880
1289,56784
1290,56782
1291,57288
1292,57301
1293,57735
1294,57841
1295,55436
1296,55591
1297,69299
1298,56647
1299,60429
1300,61054
1301,61062
1302,61071
1303,61077
1304,61077
1305,60925
1306,61144
1307,60829
1308,60833
1309,60842
1310,60853
1311,60863
1312,60870
1313,60879
1314,60883
1315,60935
1316,60946
1317,60948
1318,60959
1319,60974
1320,61035
1321,61310
1322,61311
1323,61340
1324,61351
1325,61398
1326,61399
1327,61401
1328,61402
1329,61403
1330,61406
1331,61407
1332,61421
1333,62371
1335,63222
1336,72292
1401,250
1402,254
1403,465
1404,466
1405,1200
1406,2304
1407,2308
1408,2310
1409,2311
1410,2312
1411,2314
1412,2315
1413,2318
1414,2319
1415,2322
1416,2328
1417,2329
1418,2330
1419,2331
1420,2341
1421,2344
1422,2345
1423,2346
1424,2347
1425,2351
1429,18906
1429,8854
1430,21954
1431,21955
1432,57342
1432,20001
1433,20028
1434,20033
1435,20082
1436,20194
1437,20353
1438,20357
1439,20359
1440,20362
1441,20365
1442,20366
1443,20399
1444,20579
1445,21223
1446,21226
1447,21317
1448,21318
1449,21658
1450,21704
1451,21819
1452,21827
1453,21831
1454,31136
1455,32191
1456,23665
1457,23671
1458,24100
1459,24151
1460,24156
1461,24209
1464,24226
1465,24228
1466,24368
1467,24369
1468,24404
1469,24410
1470,24425
1471,24441
1472,24472
1473,24494
1474,24502
1475,24503
1476,24504
1477,24513
1478,24519
1479,24535
1480,24979
1481,25709
1482,25721
1483,25723
1484,26042
1486,26113
1487,26152
1488,26227
1489,26287
1490,26296
1491,26362
1492,26381
1493,26382
1494,26390
1495,26402
1496,25988
1497,44353
1497,26021
1497,56817
1498,27018
1499,27064
1500,27065
1501,27075
1502,27076
1503,27088
